Word,Frequency
trump,1519
opinion,740
analysis,394
impeachment,261
mueller,249
perspective,226
president,213
house,211
dies,184
watergate,167
nixon,163
about,161
russia,147
democrats,143
white,118
donald,106
review,101
republicans,100
power,98
over,95
washington,94
justice,88
may,88
report,88
now,87
comey,84
your,82
court,80
clinton,78
barr,74
john,74
congress,72
should,71
news,70
russian,70
america,67
election,66
history,64
presidential,64
investigation,63
tv,62
like,61
time,61
don,60
gop,60
state,60
against,59
first,57
right,57
executive,56
senate,56
fbi,54
political,52
would,52
american,51
column,51
supreme,51
won,51
law,50
post,50
scandal,50
inquiry,49
into,49
republican,49
there,49
things,48
times,48
know,47
politics,47
presidency,47
our,46
years,46
briefing,45
day,45
down,45
former,45
media,45
biden,44
firing,44
obama,44
today,44
william,44
campaign,43
did,43
even,43
need,43
re,43
general,42
does,41
her,41
presidents,41
roger,41
two,41
been,40
stone,40
us,40
hearing,39
hearings,39
michael,39
people,39
still,39
tax,39
testimony,39
back,38
book,38
case,38
cohen,38
democratic,38
legal,38
public,38
richard,38
year,38
james,37
robert,37
shows,37
ukraine,37
world,37
attorney,36
hillary,36
make,36
probe,36
show,36
under,36
want,36
americans,35
conspiracy,35
big,34
democracy,34
fight,34
again,33
counsel,33
crisis,33
judge,33
kavanaugh,33
say,33
these,33
best,32
must,32
special,32
them,32
were,32
worse,32
returns,31
vote,31
bill,30
call,30
george,30
government,30
made,30
office,30
own,30
take,30
administration,29
himself,29
night,29
sessions,29
before,28
department,28
doesn,28
end,28
era,28
far,28
good,28
lawyer,28
life,28
other,28
some,28
war,28
bob,27
chief,27
isn,27
let,27
most,27
much,27
party,27
pelosi,27
questions,27
set,27
story,27
way,27
another,26
calls,26
committee,26
last,26
newsletter,26
only,26
think,26
very,26
wrong,26
california,25
claim,25
days,25
director,25
editor,25
my,25
really,25
defense,24
latest,24
long,24
next,24
three,24
where,24
woodward,24
dead,23
foreign,23
go,23
graham,23
protect,23
readers,23
trial,23
dept,22
during,22
got,22
had,22
impeach,22
lost,22
man,22
national,22
once,22
press,22
release,22
transcript,22
bad,21
claims,21
congressional,21
country,21
dean,21
debate,21
ever,21
giuliani,21
great,21
never,21
pardon,21
tom,21
too,21
top,21
age,20
candidates,20
corruption,20
deep,20
didn,20
evidence,20
fire,20
five,20
four,20
fox,20
goes,20
going,20
inside,20
lawyers,20
mcgahn,20
paul,20
privilege,20
sunday,20
team,20
tell,20
truth,20
yes,20
york,20
anti,19
attacks,19
constitutional,19
deal,19
every,19
full,19
help,19
joe,19
journalism,19
key,19
left,19
live,19
look,19
might,19
money,19
movie,19
problem,19
reporter,19
see,19
virginia,19
win,19
art,18
battle,18
coronavirus,18
different,18
free,18
jeff,18
possible,18
prosecutors,18
putin,18
real,18
secret,18
secretary,18
support,18
ve,18
wants,18
above,17
act,17
area,17
between,17
break,17
bush,17
carter,17
challenge,17
federal,17
give,17
helped,17
hold,17
home,17
impeaching,17
jr,17
legacy,17
lies,17
making,17
me,17
memo,17
moment,17
nothing,17
obstruction,17
past,17
question,17
scandals,17
stop,17
thing,17
turn,17
twitter,17
actually,16
behind,16
better,16
both,16
email,16
ethics,16
faces,16
future,16
getting,16
job,16
learn,16
matter,16
matters,16
morning,16
old,16
pick,16
ready,16
rule,16
said,16
saturday,16
save,16
she,16
star,16
subpoena,16
then,16
threat,16
through,16
used,16
watch,16
weekend,16
work,16
worst,16
ago,15
care,15
congressman,15
editorial,15
facts,15
fake,15
german,15
impeached,15
intelligence,15
journalist,15
line,15
lot,15
makes,15
many,15
movies,15
open,15
order,15
part,15
play,15
prosecutor,15
race,15
react,15
run,15
senators,15
survive,15
takes,15
talk,15
voters,15
vs,15
wall,15
wiretapping,15
without,15
always,14
because,14
ben,14
bolton,14
criminal,14
decision,14
elections,14
enough,14
everything,14
ex,14
find,14
flynn,14
gets,14
governor,14
guide,14
hope,14
important,14
investigate,14
jimmy,14
keep,14
leader,14
loved,14
massacre,14
men,14
move,14
needs,14
officials,14
process,14
records,14
schiff,14
testify,14
theory,14
thursday,14
union,14
whether,14
adam,13
ahead,13
aren,13
articles,13
black,13
change,13
comes,13
danger,13
despite,13
emails,13
final,13
finds,13
force,13
health,13
high,13
lead,13
leaders,13
manafort,13
mean,13
monday,13
north,13
revelations,13
strategy,13
syria,13
takeaways,13
talks,13
tapes,13
theories,13
TRUE,13
tuesday,13
turned,13
vietnam,13
wars,13
wasn,13
women,13
yet,13
acting,12
address,12
ask,12
away,12
being,12
brought,12
decades,12
democrat,12
done,12
film,12
grand,12
hill,12
hotel,12
kennedy,12
liberal,12
list,12
ll,12
moments,12
mr,12
nation,12
policy,12
pompeo,12
pulitzer,12
reagan,12
rules,12
sanders,12
since,12
stephen,12
summer,12
warning,12
watching,12
wednesday,12
winning,12
wiretap,12
ambassador,11
archives,11
around,11
believe,11
bid,11
biggest,11
billy,11
bits,11
block,11
bradlee,11
capitol,11
changed,11
close,11
cnn,11
come,11
conservative,11
coverage,11
dinner,11
elizabeth,11
essential,11
expect,11
explains,11
fired,11
ford,11
found,11
front,11
galleries,11
hear,11
interference,11
interview,11
iowa,11
journalists,11
judiciary,11
keeps,11
korea,11
led,11
little,11
mark,11
moore,11
network,11
nunes,11
off,11
official,11
oversight,11
pbs,11
place,11
plan,11
pressure,11
primary,11
rights,11
roy,11
same,11
senator,11
south,11
speech,11
took,11
toward,11
try,11
trying,11
turns,11
while,11
amid,10
approach,10
begins,10
bigger,10
books,10
bring,10
career,10
charges,10
contempt,10
conway,10
crime,10
critics,10
defend,10
demand,10
drama,10
emergency,10
fall,10
FALSE,10
family,10
follow,10
investigations,10
itself,10
jury,10
late,10
laws,10
leave,10
letters,10
lie,10
looks,10
major,10
mcconnell,10
nominee,10
offers,10
oil,10
parties,10
price,10
private,10
protests,10
record,10
rep,10
road,10
second,10
seven,10
source,10
spicer,10
syrian,10
thanks,10
told,10
tried,10
use,10
video,10
wanted,10
warren,10
which,10
woman,10
adviser,9
answer,9
any,9
anything,9
asked,9
author,9
ban,9
bernie,9
breaking,9
brexit,9
british,9
check,9
civil,9
class,9
death,9
delivers,9
diplomat,9
divided,9
documentary,9
doing,9
enemy,9
face,9
fact,9
failure,9
faith,9
figure,9
films,9
finance,9
following,9
friday,9
friend,9
ginsburg,9
happen,9
happened,9
idea,9
king,9
leaks,9
leaves,9
letter,9
map,9
mess,9
mike,9
million,9
modern,9
month,9
nuclear,9
oscar,9
pandemic,9
partisan,9
personal,9
plans,9
politicians,9
put,9
reports,9
resistance,9
risk,9
ruth,9
school,9
security,9
sees,9
self,9
sex,9
short,9
soon,9
spy,9
stand,9
start,9
style,9
subpoenas,9
system,9
taxes,9
tells,9
term,9
those,9
visit,9
voice,9
water,9
ways,9
whose,9
winter,9
abuse,8
account,8
agnew,8
april,8
attack,8
bader,8
become,8
blow,8
brings,8
broke,8
candidate,8
cannot,8
cbs,8
century,8
chance,8
cheat,8
clear,8
co,8
coming,8
cost,8
dangerous,8
david,8
deaths,8
decide,8
eat,8
echoes,8
efforts,8
else,8
exactly,8
facebook,8
fears,8
few,8
finally,8
financial,8
fires,8
florida,8
fraud,8
gone,8
guilty,8
happens,8
happy,8
heart,8
historic,8
independent,8
investigators,8
july,8
june,8
less,8
likely,8
lindsey,8
majority,8
maybe,8
means,8
meet,8
meeting,8
minutes,8
mission,8
moves,8
museum,8
netflix,8
nomination,8
nov,8
oliver,8
others,8
outrage,8
papers,8
pardons,8
pence,8
precedent,8
probably,8
puts,8
rage,8
reason,8
reasons,8
refused,8
rejects,8
remember,8
remembering,8
reporters,8
reporting,8
response,8
rise,8
saying,8
sean,8
secrets,8
seeks,8
shouldn,8
small,8
son,8
spotlight,8
states,8
suggests,8
supporters,8
sure,8
talking,8
tcm,8
themselves,8
ties,8
trailer,8
transparency,8
united,8
university,8
until,8
veteran,8
views,8
worry,8
worth,8
young,8
accused,7
action,7
african,7
agency,7
aide,7
air,7
aleppo,7
alice,7
allies,7
alone,7
also,7
andrew,7
anyone,7
appeals,7
assassination,7
bannon,7
becoming,7
brown,7
built,7
business,7
called,7
calling,7
challenges,7
cia,7
city,7
colbert,7
commentary,7
confirmation,7
conflict,7
conversation,7
critique,7
cultural,7
demands,7
devos,7
dick,7
diplomats,7
documents,7
drop,7
evangelicals,7
everyone,7
fame,7
father,7
felt,7
festival,7
files,7
forget,7
game,7
games,7
germany,7
god,7
greatest,7
gun,7
half,7
hand,7
hard,7
head,7
immigration,7
impeachable,7
independence,7
indicted,7
institutions,7
investigating,7
issue,7
kids,7
lawmakers,7
light,7
lose,7
losing,7
low,7
loyalty,7
maryland,7
mind,7
mitch,7
months,7
moscow,7
name,7
normal,7
oct,7
orders,7
panel,7
path,7
pay,7
point,7
police,7
poll,7
powerful,7
prison,7
prize,7
prosecute,7
protecting,7
prove,7
raise,7
read,7
reading,7
reality,7
released,7
remove,7
restaurant,7
role,7
rudy,7
ruling,7
running,7
safe,7
sally,7
seek,7
sen,7
sense,7
sept,7
side,7
silence,7
simple,7
six,7
sondland,7
street,7
strong,7
struggle,7
taking,7
tale,7
target,7
terror,7
test,7
travel,7
view,7
warns,7
watchdog,7
witness,7
witnesses,7
words,7
yates,7
access,6
accountable,6
accuses,6
across,6
actions,6
afraid,6
aides,6
al,6
allegations,6
alleged,6
ally,6
almost,6
along,6
already,6
amc,6
amendment,6
anchor,6
anonymous,6
anthony,6
asks,6
attorneys,6
berlin,6
betsy,6
brett,6
budget,6
build,6
buy,6
captain,6
cases,6
chaos,6
charge,6
checking,6
chef,6
child,6
china,6
club,6
cold,6
college,6
commission,6
consider,6
continues,6
control,6
conversations,6
count,6
coup,6
critic,6
cruz,6
damage,6
daniels,6
dark,6
daughter,6
de,6
dershowitz,6
deserve,6
deserves,6
disclosure,6
doj,6
duty,6
early,6
economy,6
ends,6
envoy,6
evening,6
experts,6
explained,6
faced,6
facing,6
famous,6
favorite,6
feel,6
feud,6
fourth,6
freedom,6
gave,6
georgia,6
hate,6
hero,6
highlights,6
hit,6
hollywood,6
homeless,6
honest,6
hour,6
hours,6
hurricane,6
ice,6
ideas,6
indict,6
indictment,6
inspired,6
instead,6
investigated,6
iran,6
ivanka,6
jfk,6
jim,6
join,6
kelly,6
ken,6
kenneth,6
killed,6
kind,6
land,6
lawsuit,6
least,6
leaving,6
liar,6
library,6
lives,6
lock,6
love,6
machine,6
march,6
martin,6
merkel,6
message,6
midterms,6
military,6
minister,6
ministry,6
missed,6
missing,6
nbc,6
offer,6
online,6
pentagon,6
photos,6
pre,6
present,6
pro,6
problems,6
proved,6
proves,6
pushes,6
quote,6
races,6
raises,6
reaction,6
red,6
reforms,6
reminds,6
residents,6
results,6
reveal,6
rising,6
romney,6
rosenstein,6
ryan,6
season,6
sell,6
serious,6
sets,6
share,6
shutdown,6
sides,6
signs,6
something,6
sound,6
sounds,6
speak,6
speaker,6
spielberg,6
stage,6
starr,6
stars,6
stein,6
storm,6
students,6
stupid,6
swamp,6
teach,6
thought,6
threats,6
tough,6
town,6
trumpism,6
trust,6
tweet,6
un,6
unlikely,6
votes,6
voting,6
wait,6
watchdogs,6
welcome,6
west,6
wild,6
wins,6
able,5
abortion,5
acquittal,5
acts,5
agrees,5
aim,5
alan,5
alexander,5
among,5
angeles,5
answers,5
appears,5
arguments,5
aside,5
asking,5
assault,5
athletes,5
authority,5
awful,5
bar,5
barack,5
baron,5
became,5
becomes,5
bernstein,5
beyond,5
blue,5
boring,5
bribery,5
britain,5
brokaw,5
brother,5
bubble,5
burns,5
cabinet,5
card,5
center,5
challenged,5
championed,5
changes,5
changing,5
charity,5
children,5
choice,5
christmas,5
collusion,5
comic,5
comics,5
community,5
complicated,5
consequences,5
conservatives,5
considering,5
constitution,5
controversy,5
cool,5
cooperate,5
corrections,5
courts,5
crazy,5
criticizes,5
cup,5
dan,5
defends,5
define,5
discuss,5
distinguished,5
doubt,5
dream,5
drink,5
easy,5
education,5
eight,5
emerges,5
enemies,5
eu,5
expert,5
failed,5
fair,5
fans,5
finding,5
fix,5
food,5
forces,5
fray,5
fred,5
friends,5
further,5
giant,5
goldman,5
green,5
ground,5
hacking,5
harder,5
harris,5
headlines,5
heard,5
hints,5
historically,5
hot,5
including,5
increasingly,5
influential,5
informant,5
innocent,5
inquiries,5
insists,5
inspector,5
israel,5
jan,5
jersey,5
johnson,5
jokes,5
keeping,5
kellyanne,5
kiev,5
known,5
koch,5
kremlin,5
language,5
launch,5
lawmaker,5
learned,5
lehrer,5
lesson,5
lessons,5
listen,5
local,5
los,5
mad,5
madness,5
mayhew,5
mccain,5
mccarthy,5
meetings,5
member,5
millions,5
minds,5
misleading,5
miss,5
mnuchin,5
movement,5
moving,5
multiple,5
nancy,5
nature,5
netanyahu,5
newshour,5
nhs,5
nine,5
nobody,5
novel,5
obamagate,5
offense,5
often,5
ohio,5
openings,5
opinions,5
original,5
oscars,5
outside,5
oval,5
panic,5
paris,5
park,5
pasta,5
pat,5
peace,5
perfect,5
plea,5
plot,5
plus,5
points,5
polls,5
potential,5
powers,5
prevent,5
priebus,5
proceedings,5
purge,5
push,5
pushing,5
quiet,5
quit,5
rain,5
rally,5
reads,5
reflects,5
refusal,5
relationship,5
remain,5
reminder,5
reported,5
restore,5
revealing,5
rex,5
rhetoric,5
river,5
sanctions,5
scalia,5
scenes,5
scholars,5
schools,5
search,5
seen,5
sent,5
series,5
serve,5
service,5
seymour,5
shadow,5
sharp,5
showtime,5
shut,5
sign,5
sitting,5
smoking,5
southern,5
spin,5
spiro,5
spot,5
staff,5
step,5
steps,5
steve,5
strange,5
stunning,5
suddenly,5
sue,5
super,5
terrible,5
third,5
thomas,5
throat,5
tillerson,5
toxic,5
trapped,5
troubles,5
uncertain,5
unusual,5
urge,5
victory,5
voter,5
waiting,5
warned,5
well,5
went,5
whistleblowers,5
wife,5
wing,5
word,5
working,5
works,5
absolute,4
accusations,4
activist,4
ads,4
advice,4
affair,4
afghanistan,4
africa,4
agenda,4
agent,4
agree,4
agreement,4
aid,4
anderson,4
anger,4
anniversary,4
anyway,4
apartment,4
arctic,4
argues,4
argument,4
army,4
arpaio,4
artists,4
atlantic,4
aug,4
australia,4
authoritarianism,4
award,4
baby,4
backfire,4
ball,4
ballot,4
bank,4
base,4
beach,4
began,4
begin,4
beginning,4
belarus,4
believed,4
billion,4
blocks,4
bodies,4
body,4
bogus,4
bottom,4
boy,4
brady,4
brand,4
breath,4
bright,4
buttigieg,4
buzzfeed,4
came,4
canada,4
carl,4
carolina,4
cartoonists,4
casting,4
caught,4
ceasefire,4
celebrate,4
celebrated,4
central,4
chairman,4
champion,4
channel,4
character,4
citing,4
clash,4
classified,4
clemency,4
cloud,4
colleagues,4
commit,4
common,4
compare,4
comparisons,4
complex,4
conference,4
convention,4
cooperation,4
corporate,4
corrupt,4
cortez,4
couldn,4
covering,4
covid,4
creamy,4
create,4
criticism,4
cuts,4
cyberattack,4
dad,4
daily,4
davis,4
dear,4
decade,4
declare,4
deepens,4
delivered,4
denial,4
devin,4
disinformation,4
display,4
district,4
divide,4
division,4
divisive,4
donbass,4
donors,4
drawing,4
draws,4
drew,4
dylan,4
easier,4
edward,4
effort,4
embrace,4
embraced,4
enforcement,4
escalate,4
establishment,4
events,4
expansion,4
expected,4
expects,4
exposed,4
familiar,4
feb,4
fed,4
field,4
focus,4
forecast,4
fought,4
foundation,4
frank,4
fresh,4
funny,4
gag,4
gallery,4
gives,4
giving,4
glory,4
gordon,4
gotten,4
gov,4
governing,4
governors,4
grow,4
guy,4
hack,4
haven,4
heads,4
helping,4
herbert,4
hicks,4
higher,4
highest,4
historical,4
hogan,4
holding,4
hopes,4
horrible,4
huge,4
hurt,4
icon,4
ig,4
ignored,4
ii,4
immunity,4
industry,4
information,4
inspectors,4
instagram,4
investigative,4
irs,4
jail,4
january,4
jeffrey,4
jill,4
jobs,4
joke,4
kaine,4
kamala,4
keefe,4
kevin,4
knew,4
knows,4
lady,4
later,4
lawless,4
legendary,4
lieutenant,4
lillian,4
limits,4
listening,4
literally,4
lobbyists,4
lofgren,4
longer,4
longest,4
longtime,4
looking,4
losers,4
loss,4
louis,4
lucky,4
lying,4
maddow,4
magazine,4
mainstream,4
managers,4
markets,4
mass,4
massive,4
materials,4
medals,4
meets,4
melania,4
members,4
mexico,4
midterm,4
mob,4
moon,4
mystery,4
myths,4
nato,4
nearly,4
nears,4
nixonian,4
noah,4
non,4
notable,4
number,4
obstructed,4
ocasio,4
olympic,4
ones,4
opens,4
options,4
orange,4
ouster,4
pages,4
palm,4
parallel,4
paranoia,4
patrick,4
perjury,4
pete,4
phone,4
pioneer,4
played,4
players,4
please,4
poland,4
politicization,4
pollster,4
pop,4
portrayal,4
position,4
posts,4
pot,4
pretty,4
professor,4
provide,4
queen,4
quick,4
quid,4
quintessential,4
quiz,4
quo,4
rachel,4
ran,4
rather,4
reach,4
reacted,4
rebellion,4
receive,4
recommend,4
recover,4
reelection,4
reform,4
refugee,4
refugees,4
refusing,4
region,4
rein,4
remains,4
removing,4
resigns,4
resist,4
restaurants,4
return,4
reveals,4
rivals,4
roberts,4
rock,4
room,4
rose,4
rough,4
royal,4
russians,4
sale,4
saved,4
scientists,4
secrecy,4
seeing,4
seeking,4
seized,4
sentencing,4
serving,4
shake,4
shape,4
signals,4
simon,4
slow,4
snl,4
space,4
speaks,4
spent,4
sports,4
spygate,4
steven,4
steyer,4
stolen,4
stopped,4
stormy,4
stream,4
strikes,4
stuff,4
such,4
sudden,4
survived,4
sweet,4
swing,4
taped,4
ted,4
television,4
testifies,4
tests,4
theater,4
thinking,4
thousands,4
tie,4
tim,4
toll,4
toobin,4
touch,4
tour,4
tries,4
trip,4
trudeau,4
trumpian,4
turning,4
uber,4
ups,4
uranium,4
usual,4
values,4
venezuela,4
viewers,4
violate,4
vision,4
weakness,4
weapons,4
weld,4
whitaker,4
wilkins,4
wine,4
wines,4
witch,4
worldwide,4
wouldn,4
writer,4
zoe,4
äì,4
äù,4
abroad,3
abuses,3
accord,3
ad,3
added,3
admits,3
admitted,3
affairs,3
afghan,3
airing,3
album,3
allen,3
amy,3
anna,3
anymore,3
apply,3
appointed,3
approves,3
arlington,3
artist,3
asserts,3
assessment,3
associates,3
attempt,3
authoritarian,3
avoid,3
awaits,3
awards,3
backfired,3
backs,3
bargain,3
based,3
basketball,3
battles,3
bay,3
beans,3
believes,3
beware,3
bind,3
bipartisan,3
birthday,3
bizarre,3
blasts,3
blockbuster,3
blood,3
bluff,3
boasts,3
bombshells,3
boost,3
border,3
boss,3
bound,3
boundaries,3
branch,3
branson,3
brennan,3
brent,3
bringing,3
broad,3
broken,3
buchanan,3
building,3
bullock,3
bureau,3
burglar,3
burning,3
cable,3
cancer,3
captures,3
cards,3
carlson,3
cash,3
castro,3
cause,3
census,3
chair,3
charged,3
charles,3
cheese,3
chilling,3
chinese,3
choosing,3
christine,3
church,3
circuit,3
cites,3
cities,3
climate,3
clue,3
coast,3
collection,3
collective,3
comeback,3
commencement,3
comment,3
comments,3
company,3
compel,3
complaint,3
complete,3
comply,3
conduct,3
confirms,3
conflicts,3
continue,3
controversies,3
convicted,3
conviction,3
conyers,3
cook,3
cooper,3
correspondents,3
counter,3
counts,3
county,3
couple,3
courage,3
course,3
covered,3
coverups,3
cream,3
created,3
creating,3
credible,3
criminality,3
cross,3
cry,3
cuban,3
culture,3
cummings,3
curb,3
cut,3
cyprus,3
dangers,3
data,3
debates,3
debt,3
debut,3
deceptions,3
defending,3
defenses,3
defiance,3
defined,3
defining,3
definitive,3
deny,3
deputy,3
desperate,3
destructive,3
determine,3
devastating,3
dialogue,3
died,3
dining,3
directly,3
directors,3
disastrous,3
dishonest,3
dismissal,3
dispute,3
disputes,3
distract,3
divisions,3
dnc,3
domestic,3
donations,3
doomed,3
doping,3
dorian,3
dossier,3
doubts,3
dropped,3
economic,3
effect,3
either,3
elijah,3
elite,3
ending,3
endure,3
energy,3
epic,3
episodes,3
estate,3
evangelical,3
eve,3
example,3
exceptionalism,3
exist,3
experience,3
explaining,3
fallen,3
falling,3
falsehoods,3
fate,3
fauci,3
fault,3
fear,3
feature,3
february,3
feels,3
feminist,3
fiction,3
fighting,3
filled,3
fine,3
firings,3
fitness,3
fitting,3
flight,3
flint,3
flip,3
flipping,3
flood,3
floor,3
foot,3
form,3
french,3
freshmen,3
fundraiser,3
furious,3
fury,3
gain,3
gains,3
gap,3
gas,3
gate,3
gen,3
gene,3
genius,3
gerald,3
gerrymandering,3
gingrich,3
girls,3
glenn,3
goal,3
godfather,3
golden,3
goodfellas,3
greater,3
gregory,3
groundwork,3
growing,3
grown,3
guard,3
guess,3
guns,3
guru,3
hall,3
hampshire,3
handled,3
hang,3
hanks,3
happening,3
harvard,3
harvey,3
hasn,3
hated,3
hbo,3
headed,3
heavy,3
held,3
hersh,3
hidden,3
highly,3
historians,3
holds,3
hong,3
hotels,3
human,3
hundreds,3
hunt,3
hunter,3
hush,3
ignore,3
ill,3
illegal,3
image,3
impeachments,3
impossible,3
incredible,3
indictments,3
infamous,3
influence,3
intent,3
investigator,3
invoking,3
island,3
israeli,3
issues,3
jacob,3
jake,3
jane,3
jaws,3
joins,3
jones,3
joseph,3
journey,3
judges,3
judgment,3
judy,3
kalmbach,3
katharine,3
kong,3
la,3
labor,3
lane,3
lashes,3
lawlessness,3
lay,3
lbj,3
leadership,3
league,3
legend,3
lemon,3
lesser,3
level,3
liberals,3
lifetime,3
links,3
lion,3
literary,3
london,3
loser,3
losses,3
loves,3
loyalists,3
luxury,3
management,3
mar,3
marie,3
market,3
marks,3
marriage,3
match,3
matthew,3
max,3
mccord,3
md,3
meat,3
memories,3
meryl,3
metoo,3
middle,3
minded,3
missile,3
mistake,3
mistakes,3
mitt,3
mocks,3
mugabe,3
murder,3
muzzle,3
names,3
navy,3
neither,3
newspapers,3
nice,3
nightmare,3
nominated,3
nominees,3
notes,3
novelist,3
november,3
nowhere,3
numbers,3
oath,3
